transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct
TX-0001,2026-05-04,CUS-063,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.15
TX-0002,2026-08-15,CUS-140,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0003,2026-03-02,CUS-024,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0004,2026-03-01,CUS-144,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.1
TX-0005,2026-07-12,CUS-108,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0.15
TX-0006,2026-09-18,CUS-002,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0007,2026-05-05,CUS-040,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0008,2026-03-21,CUS-024,mechanical-keyboard,Mechanical Keyboard,Office,3,119.99,0
TX-0009,2026-07-27,CUS-068,desk-lamp,Desk Lamp,Home Office,1,44.99,0
TX-0010,2026-03-26,CUS-097,wireless-headphones,Wireless Headphones,Audio,2,89.99,0.1
TX-0011,2026-07-31,CUS-093,wireless-headphones,Wireless Headphones,Audio,1,89.99,0.15
TX-0012,2026-03-06,CUS-059,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0013,2026-03-20,CUS-098,smart-watch,Smart Watch,Wearables,4,149.99,0
TX-0014,2026-04-05,CUS-095,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0015,2026-08-21,CUS-019,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0016,2026-08-28,CUS-063,usb-c-hub,USB-C Hub,Accessories,2,39.99,0.1
TX-0017,2026-08-05,CUS-143,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0018,2026-04-22,CUS-009,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0019,2026-04-18,CUS-146,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0020,2026-06-30,CUS-102,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.15
TX-0021,2026-03-30,CUS-064,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0
TX-0022,2026-09-02,CUS-150,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0
TX-0023,2026-05-26,CUS-057,desk-lamp,Desk Lamp,Home Office,3,44.99,0.05
TX-0024,2026-09-04,CUS-013,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0025,2026-09-13,CUS-109,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0026,2026-07-25,CUS-120,usb-c-hub,USB-C Hub,Accessories,1,39.99,0.05
TX-0027,2026-02-25,CUS-030,usb-c-hub,USB-C Hub,Accessories,1,39.99,0.1
TX-0028,2026-09-07,CUS-088,everyday-hoodie,Everyday Hoodie,Apparel,3,54.99,0
TX-0029,2026-06-19,CUS-001,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0030,2026-07-01,CUS-046,everyday-hoodie,Everyday Hoodie,Apparel,3,54.99,0
TX-0031,2026-05-10,CUS-130,usb-c-hub,USB-C Hub,Accessories,3,39.99,0.15
TX-0032,2026-09-06,CUS-042,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0033,2026-02-23,CUS-083,usb-c-hub,USB-C Hub,Accessories,3,39.99,0.1
TX-0034,2026-09-17,CUS-079,desk-lamp,Desk Lamp,Home Office,1,44.99,0
TX-0035,2026-03-15,CUS-022,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.1
TX-0036,2026-09-05,CUS-137,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0
TX-0037,2026-07-13,CUS-043,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.05
TX-0038,2026-06-11,CUS-055,smart-watch,Smart Watch,Wearables,1,149.99,0.1
TX-0039,2026-04-15,CUS-080,usb-c-hub,USB-C Hub,Accessories,2,39.99,0.15
TX-0040,2026-05-29,CUS-113,desk-lamp,Desk Lamp,Home Office,4,44.99,0.15
TX-0041,2026-04-21,CUS-017,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0042,2026-04-22,CUS-057,smart-watch,Smart Watch,Wearables,1,149.99,0.1
TX-0043,2026-03-10,CUS-059,wireless-headphones,Wireless Headphones,Audio,1,89.99,0.15
TX-0044,2026-03-13,CUS-132,wireless-headphones,Wireless Headphones,Audio,3,89.99,0
TX-0045,2026-04-18,CUS-139,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.05
TX-0046,2026-07-20,CUS-122,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0.1
TX-0047,2026-04-12,CUS-025,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0.05
TX-0048,2026-06-11,CUS-106,wireless-headphones,Wireless Headphones,Audio,2,89.99,0
TX-0049,2026-08-14,CUS-026,desk-lamp,Desk Lamp,Home Office,2,44.99,0
TX-0050,2026-09-15,CUS-028,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0051,2026-06-17,CUS-036,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.1
TX-0052,2026-04-27,CUS-020,desk-lamp,Desk Lamp,Home Office,1,44.99,0.05
TX-0053,2026-03-20,CUS-013,desk-lamp,Desk Lamp,Home Office,2,44.99,0.1
TX-0054,2026-03-18,CUS-061,everyday-hoodie,Everyday Hoodie,Apparel,4,54.99,0
TX-0055,2026-04-18,CUS-103,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.05
TX-0056,2026-06-02,CUS-068,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0057,2026-08-29,CUS-143,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0058,2026-04-12,CUS-076,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0
TX-0059,2026-08-30,CUS-139,mechanical-keyboard,Mechanical Keyboard,Office,3,119.99,0.1
TX-0060,2026-03-07,CUS-150,wireless-headphones,Wireless Headphones,Audio,2,89.99,0
TX-0061,2026-04-04,CUS-015,desk-lamp,Desk Lamp,Home Office,1,44.99,0.1
TX-0062,2026-03-12,CUS-018,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0063,2026-03-25,CUS-146,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0.05
TX-0064,2026-07-31,CUS-021,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0065,2026-07-06,CUS-081,desk-lamp,Desk Lamp,Home Office,2,44.99,0.1
TX-0066,2026-05-14,CUS-062,smart-watch,Smart Watch,Wearables,1,149.99,0.15
TX-0067,2026-08-07,CUS-077,smart-watch,Smart Watch,Wearables,1,149.99,0.15
TX-0068,2026-02-25,CUS-118,desk-lamp,Desk Lamp,Home Office,1,44.99,0
TX-0069,2026-03-13,CUS-138,usb-c-hub,USB-C Hub,Accessories,4,39.99,0
TX-0070,2026-05-23,CUS-018,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0071,2026-06-15,CUS-140,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0072,2026-07-08,CUS-003,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.15
TX-0073,2026-08-11,CUS-027,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0
TX-0074,2026-09-01,CUS-142,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0075,2026-04-17,CUS-088,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.1
TX-0076,2026-07-02,CUS-126,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0077,2026-03-18,CUS-109,smart-watch,Smart Watch,Wearables,3,149.99,0
TX-0078,2026-09-08,CUS-034,smart-watch,Smart Watch,Wearables,9,149.99,0
TX-0079,2026-08-31,CUS-114,everyday-hoodie,Everyday Hoodie,Apparel,4,54.99,0
TX-0080,2026-02-25,CUS-029,usb-c-hub,USB-C Hub,Accessories,2,39.99,0.1
TX-0081,2026-04-02,CUS-140,wireless-headphones,Wireless Headphones,Audio,3,89.99,0.15
TX-0082,2026-07-14,CUS-038,wireless-headphones,Wireless Headphones,Audio,2,89.99,0.1
TX-0083,2026-05-27,CUS-011,desk-lamp,Desk Lamp,Home Office,1,44.99,0
TX-0084,2026-08-12,CUS-027,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0085,2026-07-31,CUS-040,smart-watch,Smart Watch,Wearables,2,149.99,0.05
TX-0086,2026-06-08,CUS-007,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0087,2026-09-11,CUS-106,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0088,2026-05-02,CUS-041,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0
TX-0089,2026-06-23,CUS-057,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0
TX-0090,2026-05-23,CUS-079,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0.05
TX-0091,2026-04-13,CUS-103,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.15
TX-0092,2026-09-08,CUS-072,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0093,2026-08-15,CUS-138,smart-watch,Smart Watch,Wearables,2,149.99,0.05
TX-0094,2026-04-30,CUS-046,smart-watch,Smart Watch,Wearables,3,149.99,0
TX-0095,2026-03-04,CUS-028,usb-c-hub,USB-C Hub,Accessories,3,39.99,0
TX-0096,2026-09-12,CUS-081,usb-c-hub,USB-C Hub,Accessories,1,39.99,0.15
TX-0097,2026-03-24,CUS-099,desk-lamp,Desk Lamp,Home Office,1,44.99,0.1
TX-0098,2026-08-23,CUS-112,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0099,2026-08-17,CUS-051,wireless-headphones,Wireless Headphones,Audio,1,89.99,0.1
TX-0100,2026-05-18,CUS-081,smart-watch,Smart Watch,Wearables,1,149.99,0.15
TX-0101,2026-05-10,CUS-130,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0.15
TX-0102,2026-06-06,CUS-076,smart-watch,Smart Watch,Wearables,2,149.99,0
TX-0103,2026-08-12,CUS-098,usb-c-hub,USB-C Hub,Accessories,1,39.99,0.05
TX-0104,2026-07-30,CUS-146,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0
TX-0105,2026-05-11,CUS-074,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0106,2026-07-28,CUS-083,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0.1
TX-0107,2026-04-18,CUS-131,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0108,2026-04-07,CUS-022,desk-lamp,Desk Lamp,Home Office,2,44.99,0.15
TX-0109,2026-07-31,CUS-086,smart-watch,Smart Watch,Wearables,1,149.99,0.15
TX-0110,2026-08-14,CUS-080,wireless-headphones,Wireless Headphones,Audio,2,89.99,0
TX-0111,2026-03-01,CUS-012,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0112,2026-09-07,CUS-019,mechanical-keyboard,Mechanical Keyboard,Office,4,119.99,0.1
TX-0113,2026-07-20,CUS-050,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0114,2026-06-05,CUS-063,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0.05
TX-0115,2026-09-03,CUS-028,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0116,2026-07-05,CUS-119,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0117,2026-06-19,CUS-035,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0118,2026-07-25,CUS-082,desk-lamp,Desk Lamp,Home Office,2,44.99,0.1
TX-0119,2026-07-02,CUS-110,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0120,2026-09-01,CUS-122,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0121,2026-08-05,CUS-071,desk-lamp,Desk Lamp,Home Office,1,44.99,0
TX-0122,2026-05-04,CUS-113,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0123,2026-05-03,CUS-086,wireless-headphones,Wireless Headphones,Audio,2,89.99,0
TX-0124,2026-03-30,CUS-039,smart-watch,Smart Watch,Wearables,3,149.99,0
TX-0125,2026-08-22,CUS-055,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0126,2026-07-11,CUS-120,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0127,2026-06-02,CUS-150,desk-lamp,Desk Lamp,Home Office,1,44.99,0.05
TX-0128,2026-05-31,CUS-123,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.1
TX-0129,2026-09-03,CUS-100,wireless-headphones,Wireless Headphones,Audio,3,89.99,0
TX-0130,2026-07-12,CUS-057,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0131,2026-06-27,CUS-008,desk-lamp,Desk Lamp,Home Office,1,44.99,0.05
TX-0132,2026-09-15,CUS-104,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0133,2026-03-27,CUS-137,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.05
TX-0134,2026-07-17,CUS-007,wireless-headphones,Wireless Headphones,Audio,3,89.99,0.1
TX-0135,2026-06-21,CUS-047,wireless-headphones,Wireless Headphones,Audio,2,89.99,0
TX-0136,2026-04-18,CUS-117,wireless-headphones,Wireless Headphones,Audio,1,89.99,0
TX-0137,2026-05-05,CUS-108,smart-watch,Smart Watch,Wearables,1,149.99,0.05
TX-0138,2026-02-27,CUS-139,smart-watch,Smart Watch,Wearables,2,149.99,0.05
TX-0139,2026-04-21,CUS-018,wireless-headphones,Wireless Headphones,Audio,4,89.99,0
TX-0140,2026-04-27,CUS-052,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0
TX-0141,2026-03-27,CUS-122,wireless-headphones,Wireless Headphones,Audio,2,89.99,0
TX-0142,2026-06-22,CUS-066,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0
TX-0143,2026-09-02,CUS-030,smart-watch,Smart Watch,Wearables,1,149.99,0.1
TX-0144,2026-07-21,CUS-007,mechanical-keyboard,Mechanical Keyboard,Office,3,119.99,0
TX-0145,2026-06-04,CUS-051,smart-watch,Smart Watch,Wearables,1,149.99,0.05
TX-0146,2026-04-26,CUS-027,wireless-headphones,Wireless Headphones,Audio,1,89.99,0.15
TX-0147,2026-07-26,CUS-031,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0.15
TX-0148,2026-07-09,CUS-110,usb-c-hub,USB-C Hub,Accessories,2,39.99,0
TX-0149,2026-08-07,CUS-088,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.1
TX-0150,2026-03-22,CUS-111,wireless-headphones,Wireless Headphones,Audio,2,89.99,0.05
TX-0151,2026-08-23,CUS-040,smart-watch,Smart Watch,Wearables,2,149.99,0.05
TX-0152,2026-08-08,CUS-070,desk-lamp,Desk Lamp,Home Office,1,44.99,0.1
TX-0153,2026-09-09,CUS-124,usb-c-hub,USB-C Hub,Accessories,2,39.99,0.1
TX-0154,2026-07-24,CUS-069,desk-lamp,Desk Lamp,Home Office,1,44.99,0.15
TX-0155,2026-05-05,CUS-116,smart-watch,Smart Watch,Wearables,2,149.99,0
TX-0156,2026-07-29,CUS-098,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0.1
TX-0157,2026-04-10,CUS-125,smart-watch,Smart Watch,Wearables,1,149.99,0
TX-0158,2026-05-21,CUS-072,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0159,2026-07-15,CUS-003,usb-c-hub,USB-C Hub,Accessories,2,39.99,0
TX-0160,2026-04-25,CUS-105,usb-c-hub,USB-C Hub,Accessories,3,39.99,0
TX-0161,2026-08-18,CUS-122,desk-lamp,Desk Lamp,Home Office,1,44.99,0
TX-0162,2026-09-13,CUS-005,everyday-hoodie,Everyday Hoodie,Apparel,2,54.99,0.05
TX-0163,2026-08-19,CUS-063,wireless-headphones,Wireless Headphones,Audio,1,89.99,0.05
TX-0164,2026-06-24,CUS-142,smart-watch,Smart Watch,Wearables,2,149.99,0
TX-0165,2026-07-13,CUS-085,usb-c-hub,USB-C Hub,Accessories,1,39.99,0.15
TX-0166,2026-05-12,CUS-065,smart-watch,Smart Watch,Wearables,2,149.99,0
TX-0167,2026-05-14,CUS-031,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0168,2026-04-11,CUS-050,everyday-hoodie,Everyday Hoodie,Apparel,1,54.99,0.15
TX-0169,2026-08-27,CUS-135,mechanical-keyboard,Mechanical Keyboard,Office,2,119.99,0
TX-0170,2026-04-13,CUS-076,usb-c-hub,USB-C Hub,Accessories,1,39.99,0
TX-0171,2026-02-26,CUS-137,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
TX-0172,2026-07-14,CUS-075,mechanical-keyboard,Mechanical Keyboard,Office,1,119.99,0
